EPOCH,LOSS
1.0,253.1636059847745
2.0,253.16360029740767
3.0,253.16358975497158
4.0,253.1635843450373
5.0,253.16357935125177
6.0,253.1635738026012
7.0,253.16356756036933
8.0,253.16355424360796
9.0,253.16354814009233
10.0,253.1635366266424
11.0,253.16352455832742
12.0,253.16351817737927
13.0,253.16350458318536
14.0,253.16348863081498
15.0,253.1634746204723
16.0,253.16345936168324
17.0,253.16343952525744
18.0,253.16341982754793
19.0,253.1633951360529
20.0,253.16336545077237
21.0,253.16333382346414
22.0,253.16329456676135
23.0,253.1632447676225
24.0,253.16318692294035
25.0,253.16312450062145
26.0,253.1630347511985
27.0,253.1629297429865
28.0,253.1627670288086
29.0,253.16254716352984
30.0,253.1622512817383
31.0,253.16179462779652
32.0,253.16106719970702
33.0,253.15967407226563
34.0,253.15639814897017
35.0,253.14418334960936
36.0,252.86797096946023
37.0,205.38252369273792
38.0,76.66671218872071
39.0,44.91549984325062
40.0,31.804934198206123
41.0,25.610492914373225
42.0,21.691414208845657
43.0,18.33552216616544
44.0,16.650975066965277
45.0,15.783647337826816
46.0,14.361871866746382
47.0,13.991622734069825
48.0,13.105678168210117
49.0,13.04864171635021
50.0,12.119062258980492
51.0,11.903594402833418
52.0,11.900750134207986
53.0,10.734349857677113
54.0,11.535030616413463
55.0,10.38104052326896
56.0,10.566756864027543
57.0,10.193384842439132
58.0,9.664598009803079
59.0,9.688140361959285
60.0,9.701159688559445
61.0,9.674080228805542
62.0,9.029345989227295
63.0,8.94384295723655
64.0,9.247253760424528
65.0,9.428539377992804
66.0,9.015546014092186
67.0,8.894303664294156
68.0,8.77060960856351
69.0,9.080494525215842
70.0,8.29191778789867
71.0,8.415656750852412
72.0,7.967426104979082
73.0,8.098719068007036
74.0,8.68306027325717
75.0,7.797577127543363
76.0,7.972026694904674
77.0,8.114013342423872
78.0,7.629596328735351
79.0,7.559082514589483
80.0,7.5715842810544105
81.0,7.711913546648892
82.0,8.152906695279208
83.0,8.045630372654308
84.0,7.895093020525846
85.0,7.707971711592241
86.0,7.831904454664751
87.0,7.247356354106556
88.0,7.174867536804893
89.0,7.609453424540433
90.0,7.499482603506609
91.0,7.392082743211226
92.0,7.452824618599632
93.0,7.165850899436257
94.0,7.6034802566875115
95.0,7.566336549412121
96.0,7.313379075310447
97.0,7.503280026262456
98.0,6.502525307915428
99.0,7.0959070639176804
100.0,7.668142838911577
101.0,7.064783792062239
